time,pedID,posX,posY
23.50,10,4.28,9.70
24.00,1,3.34,3.94
24.00,2,4.27,4.94
24.00,3,1.43,5.31
24.00,4,3.59,6.37
24.00,5,2.36,7.30
24.00,6,1.34,7.86
24.00,7,1.24,7.00
24.00,8,3.20,8.28
24.00,9,2.34,9.21
24.00,10,4.28,9.42
24.50,1,3.27,3.61
24.50,2,4.28,4.44
24.50,3,1.43,4.81
24.50,4,3.59,6.09
24.50,5,2.36,7.01
24.50,6,1.34,7.58
24.50,7,1.24,6.72
24.50,8,3.20,8.00
24.50,9,2.34,8.93
24.50,10,4.28,9.14
24.50,12,3.41,9.91
25.00,1,3.20,3.38
25.00,2,4.29,3.94
25.00,3,1.43,4.31
25.00,4,3.59,5.80
25.00,5,2.36,6.73
25.00,6,1.34,7.30
25.00,7,1.24,6.43
25.00,8,3.20,7.72
25.00,9,2.34,8.64
25.00,10,4.28,8.85
25.00,12,3.41,9.63
25.50,1,3.21,3.14
25.50,2,4.37,3.45
25.50,3,1.43,3.81
25.50,4,3.59,5.44
25.50,5,2.36,6.44
25.50,6,1.34,7.01
25.50,7,1.24,6.15
25.50,8,3.20,7.43
25.50,9,2.34,8.36
25.50,10,4.28,8.57
25.50,11,4.26,9.85
25.50,12,3.41,9.35
26.00,1,3.02,2.98
26.00,2,4.45,3.04
26.00,3,1.55,3.56
26.00,4,3.59,4.94
26.00,5,2.36,6.16
26.00,6,1.34,6.73
26.00,7,1.24,5.87
26.00,8,3.20,7.15
26.00,9,2.34,8.07
26.00,10,4.28,8.28
26.00,11,4.26,9.57
26.00,12,3.41,9.06
26.50,2,4.42,2.81
26.50,3,1.60,3.33
26.50,4,3.59,4.44
26.50,5,2.36,5.88
26.50,6,1.34,6.44
26.50,7,1.24,5.55
26.50,8,3.20,6.87
26.50,9,2.34,7.79
26.50,10,4.28,8.00
26.50,11,4.26,9.28
26.50,12,3.41,8.78
26.50,13,1.73,10.06
26.50,14,2.88,9.91
27.00,2,4.17,2.76
27.00,3,1.54,3.10
27.00,4,3.59,3.94
27.00,5,2.38,5.57
27.00,6,1.34,6.16
27.00,7,1.24,5.05
27.00,8,3.21,6.58
27.00,9,2.34,7.51
27.00,10,4.28,7.72
27.00,11,4.26,9.00
27.00,12,3.41,8.50
27.00,13,1.73,9.78
27.00,14,2.88,9.63
27.50,4,3.55,3.59
27.50,5,2.42,5.07
27.50,6,1.28,5.88
27.50,7,1.24,4.55
27.50,8,3.22,6.30
27.50,9,2.34,7.22
27.50,10,4.28,7.43
27.50,11,4.26,8.72
27.50,12,3.41,8.21
27.50,13,1.73,9.49
27.50,14,2.88,9.35
28.00,4,3.42,3.43
28.00,5,2.46,4.57
28.00,6,1.28,5.57
28.00,7,1.24,4.05
28.00,8,3.22,6.01
28.00,9,2.34,6.94
28.00,10,4.28,7.15
28.00,11,4.26,8.43
28.00,12,3.41,7.93
28.00,13,1.73,9.21
28.00,14,2.88,9.06
28.50,4,3.18,3.36
28.50,5,2.35,4.10
28.50,6,1.28,5.07
28.50,7,1.09,3.63
28.50,8,3.22,5.73
28.50,9,2.34,6.65
28.50,10,4.28,6.87
28.50,11,4.26,8.15
28.50,12,3.41,7.64
28.50,13,1.73,8.93
28.50,14,2.88,8.78
29.00,4,2.96,2.91
29.00,5,2.15,3.64
29.00,6,1.24,4.57
29.00,7,0.72,3.35
29.00,8,3.22,5.31
29.00,9,2.34,6.37
29.00,10,4.28,6.58
29.00,11,4.26,7.86
29.00,12,3.41,7.36
29.00,13,1.73,8.64
29.00,14,2.88,8.50
29.50,5,2.01,3.19
29.50,6,1.21,4.22
29.50,7,0.64,3.11
29.50,8,3.23,4.81
29.50,9,2.34,6.09
29.50,10,4.28,6.30
29.50,11,4.26,7.58
29.50,12,3.41,7.08
29.50,13,1.73,8.36
29.50,14,2.88,8.21
29.50,15,1.26,9.85
29.50,16,4.13,10.06
30.00,5,1.99,2.94
30.00,6,1.13,3.90
30.00,7,0.59,2.87
30.00,8,3.23,4.31
30.00,9,2.34,5.80
30.00,10,4.28,6.01
30.00,11,4.26,7.30
30.00,12,3.41,6.79
30.00,13,1.73,8.07
30.00,14,2.88,7.93
30.00,15,1.26,9.57
30.00,16,4.13,9.78
30.00,18,2.38,9.84
30.50,5,1.90,2.70
30.50,6,0.94,3.46
30.50,8,3.23,3.81
30.50,9,2.34,5.44
30.50,10,4.28,5.73
30.50,11,4.26,7.01
30.50,12,3.41,6.51
30.50,13,1.73,7.79
30.50,14,2.88,7.64
30.50,15,1.26,9.28
30.50,16,4.13,9.49
30.50,18,2.38,9.56
31.00,6,0.73,3.32
31.00,8,3.18,3.53
31.00,9,2.34,4.94
31.00,10,4.28,5.31
31.00,11,4.26,6.73
31.00,12,3.34,6.22
31.00,13,1.73,7.51
31.00,14,2.88,7.36
31.00,15,1.26,9.00
31.00,16,4.13,9.21
31.00,18,2.38,9.27
31.00,19,3.35,9.99
31.50,6,0.69,3.09
31.50,8,3.17,3.29
31.50,9,2.34,4.44
31.50,10,4.28,4.81
31.50,11,4.26,6.44
31.50,12,3.29,5.94
31.50,13,1.72,7.22
31.50,14,2.84,7.08
31.50,15,1.26,8.72
31.50,16,4.13,8.93
31.50,18,2.38,8.99
31.50,19,3.35,9.70
32.00,8,3.24,3.05
32.00,9,2.27,3.95
32.00,10,4.28,4.31
32.00,11,4.26,6.16
32.00,12,3.29,5.66
32.00,13,1.70,6.94
32.00,14,2.82,6.79
32.00,15,1.26,8.43
32.00,16,4.13,8.64
32.00,17,4.27,9.92
32.00,18,2.38,8.71
32.00,19,3.35,9.42
32.50,9,2.28,3.61
32.50,10,4.28,3.81
32.50,11,4.26,5.88
32.50,12,3.29,5.18
32.50,13,1.68,6.65
32.50,14,2.80,6.51
32.50,15,1.26,8.15
32.50,16,4.13,8.36
32.50,17,4.27,9.64
32.50,18,2.38,8.42
32.50,19,3.35,9.14
33.00,9,2.34,3.37
33.00,10,4.20,3.54
33.00,11,4.26,5.57
33.00,12,3.29,4.68
33.00,13,1.65,6.37
33.00,14,2.80,6.22
33.00,15,1.26,7.86
33.00,16,4.13,8.07
33.00,17,4.27,9.36
33.00,18,2.38,8.14
33.00,19,3.35,8.85
33.50,9,2.33,3.12
33.50,10,4.07,3.33
33.50,11,4.26,5.07
33.50,12,3.24,4.19
33.50,13,1.65,6.09
33.50,14,2.80,5.94
33.50,15,1.26,7.58
33.50,16,4.13,7.79
33.50,17,4.27,9.07
33.50,18,2.38,7.85
33.50,19,3.35,8.57
34.00,9,2.16,2.94
34.00,10,3.98,3.12
34.00,11,4.26,4.57
34.00,12,3.12,3.73
34.00,13,1.65,5.80
34.00,14,2.80,5.66
34.00,15,1.26,7.30
34.00,16,4.13,7.51
34.00,17,4.27,8.79
34.00,18,2.38,7.57
34.00,19,3.35,8.28
34.50,11,4.27,4.07
34.50,12,3.10,3.48
34.50,13,1.65,5.44
34.50,14,2.80,5.18
34.50,15,1.26,7.01
34.50,16,4.13,7.22
34.50,17,4.27,8.50
34.50,18,2.38,7.29
34.50,19,3.35,8.00
35.00,11,4.25,3.66
35.00,12,2.89,3.40
35.00,13,1.65,4.94
35.00,14,2.92,4.70
35.00,15,1.26,6.73
35.00,16,4.13,6.94
35.00,17,4.27,8.22
35.00,18,2.38,7.00
35.00,19,3.35,7.72
35.50,11,4.20,3.41
35.50,12,2.66,3.30
35.50,13,1.65,4.44
35.50,14,3.06,4.23
35.50,15,1.26,6.44
35.50,16,4.13,6.65
35.50,17,4.27,7.94
35.50,18,2.38,6.72
35.50,19,3.35,7.43
36.00,11,4.23,3.16
36.00,13,1.65,3.94
36.00,14,3.12,3.76
36.00,15,1.26,6.16
36.00,16,4.13,6.37
36.00,17,4.27,7.65
36.00,18,2.38,6.43
36.00,19,3.35,7.15
36.50,11,4.19,2.92
36.50,13,1.63,3.59
36.50,14,3.05,3.52
36.50,15,1.26,5.88
36.50,16,4.13,6.09
36.50,17,4.27,7.37
36.50,18,2.38,6.15
36.50,19,3.35,6.87
37.00,13,1.53,3.40
37.00,14,3.03,3.28
37.00,15,1.26,5.57
37.00,16,4.13,5.80
37.00,17,4.27,7.09
37.00,18,2.38,5.87
37.00,19,3.35,6.58
37.50,13,1.30,3.30
37.50,14,3.02,3.03
37.50,15,1.26,5.07
37.50,16,4.13,5.44
37.50,17,4.27,6.80
37.50,18,2.39,5.55
37.50,19,3.34,6.30
38.00,13,1.09,3.16
38.00,15,1.26,4.57
38.00,16,4.13,4.94
38.00,17,4.27,6.52
38.00,18,2.36,5.05
38.00,19,3.31,6.01
38.50,15,1.26,4.07
38.50,16,4.13,4.44
38.50,17,4.27,6.23
38.50,18,2.35,4.55
38.50,19,3.31,5.73
39.00,15,1.24,3.66
39.00,16,4.13,3.94
39.00,17,4.27,5.95
39.00,18,2.34,4.05
39.00,19,3.31,5.31
39.50,15,1.15,3.44
39.50,16,4.08,3.59
39.50,17,4.27,5.67
39.50,18,2.36,3.65
39.50,19,3.31,4.81
40.00,15,0.90,3.43
40.00,16,3.98,3.37
40.00,17,4.27,5.20
40.00,18,2.40,3.41
40.00,19,3.29,4.32
40.50,15,0.65,3.47
40.50,16,3.83,3.19
40.50,17,4.27,4.70
40.50,18,2.28,3.19
40.50,19,3.07,3.87
41.00,16,3.96,2.98
41.00,17,4.27,4.20
41.00,18,2.06,3.09
41.00,19,3.00,3.59
41.50,17,4.27,3.72
41.50,19,2.91,3.36
42.00,17,4.24,3.47
42.00,19,2.80,3.14
42.50,17,4.37,3.28
43.00,17,4.44,3.06
